profile_identifier;latitude;longitude;clay.15.30.cm;silt.15.30.cm;sand.15.30.cm;trans_1.15.30.cm;trans_2.15.30.cm
65306;-0.570000;-72.470001;7.7;4.8;87.5;2.434181;-0.460365
65307;-0.580000;-72.379997;40.5;41.6;17.8;-0.820955;0.026863
65308;-1.280000;-70.830002;32.8;22.4;44.8;0.311428;-0.382280
66765;1.262778;-77.289722;36.4;34.6;29.1;-0.223105;-0.050356
66766;1.116111;-77.427500;23.0;33.7;43.3;0.635890;0.384150
66767;0.970000;-77.744444;29.9;49.4;20.7;-0.370064;0.501104
66768;0.940833;-77.835278;21.2;41.1;37.6;0.573308;0.662527
66769;1.200556;-77.325278;29.7;31.7;38.5;0.260080;0.065615
66770;1.375556;-77.287500;34.3;39.2;26.5;-0.258933;0.131782
66771;1.117222;-77.381944;28.0;30.0;42.0;0.406796;0.070891
66772;1.353611;-77.271389;25.1;29.8;45.1;0.585286;0.173433
67976;2.350000;-76.400000;23.1;28.8;48.1;0.733859;0.220473
67977;2.000000;-76.666667;23.1;20.8;56.0;0.884426;-0.104710
67978;2.283333;-76.450000;16.9;28.7;54.4;1.169626;0.529936
67979;2.500000;-76.950000;24.5;43.3;32.3;0.276117;0.569439
67980;1.700000;-76.783333;33.3;38.8;27.9;-0.178038;0.152976
67981;1.800000;-76.766667;34.0;27.3;38.7;0.129676;-0.217702
67982;2.516667;-76.450000;60.8;22.5;16.7;-1.289243;-0.995620
67984;1.483333;-77.097500;18.6;22.2;59.3;1.160220;0.177485
67985;2.483333;-76.466667;52.6;19.1;28.3;-0.619821;-1.012100
68002;1.183333;-76.983333;35.0;35.0;30.0;-0.154151;0.000000
68009;5.583333;-73.866667;50.0;25.0;25.0;-0.693147;-0.693147
68012;3.083333;-76.500000;75.9;17.5;6.5;-2.452519;-1.466783
68017;2.400000;-72.716667;33.0;32.7;34.3;0.037086;-0.011054
68018;2.333333;-72.700000;24.8;23.7;51.5;0.731564;-0.047395
69516;2.500000;-72.633333;31.7;43.3;24.9;-0.241386;0.310743
69518;-4.033333;-70.016667;27.7;27.2;45.1;0.487282;-0.019893
69575;2.383333;-72.633333;20.6;48.4;31.0;0.407448;0.853393
69576;-0.400000;-72.150000;56.7;17.5;25.8;-0.785722;-1.176363
69586;1.166667;-77.366667;9.1;27.7;63.1;1.933116;1.110433
69660;2.416667;-72.666667;18.7;18.4;63.0;1.216807;-0.015842
69668;1.166667;-77.183333;22.9;60.7;16.5;-0.326167;0.976082
69695;4.150000;-73.383333;37.2;20.2;42.6;0.135734;-0.613166
69711;-4.133333;-69.950000;30.4;33.5;36.1;0.171194;0.094701
69746;4.166667;-72.916667;59.4;25.1;15.5;-1.342587;-0.860731
69778;-0.466667;-72.216667;44.2;14.0;41.8;-0.055991;-1.151019
69856;1.116667;-77.366667;25.1;40.2;34.7;0.322554;0.468527
69923;-0.466667;-72.233333;29.2;19.0;51.8;0.575055;-0.427774
69933;-0.450000;-72.216667;0.9;11.4;87.7;4.551722;2.510674
70535;2.400000;-76.650000;17.1;21.2;61.6;1.280345;0.214928
70545;5.300000;-73.849722;14.0;22.2;63.8;1.515416;0.457497
70556;5.800000;-71.849722;17.5;9.1;73.4;1.431081;-0.655052
70558;11.600000;-72.250000;30.0;21.8;48.3;0.477130;-0.319605
70559;5.800000;-71.400000;20.0;33.7;46.3;0.839558;0.520946
70570;1.000000;-75.309722;45.1;32.2;22.8;-0.683250;-0.337719
70577;4.400000;-70.400000;10.0;55.3;34.8;1.249842;1.713826
70578;4.900000;-68.500000;14.0;16.4;69.6;1.604519;0.161022
70580;5.900000;-71.500000;40.6;27.8;31.5;-0.254057;-0.378846
70581;3.950000;-77.199722;2.4;3.3;94.3;3.681969;0.326372
70582;4.300000;-76.250000;18.6;26.5;54.8;1.078966;0.353449
70583;7.300000;-76.400000;45.2;13.9;40.9;-0.100234;-1.182802
70584;8.500000;-77.260000;30.8;23.5;45.7;0.394149;-0.268329
70585;3.400000;-76.800000;30.7;27.0;42.3;0.318838;-0.129293
70586;1.200000;-69.879722;5.8;5.9;88.2;2.714555;0.011127
70587;0.700000;-70.900000;23.4;9.2;67.5;1.060213;-0.934237
70588;1.100000;-69.900000;37.8;6.8;55.4;0.381438;-1.713862
70589;1.500000;-72.699722;13.8;12.1;74.1;1.682505;-0.126041
70591;1.200000;-70.250000;26.9;10.7;62.4;0.842553;-0.924589
70592;10.550000;-74.900000;54.6;21.9;23.5;-0.845211;-0.911874
70593;5.250000;-73.900000;31.3;39.1;29.6;-0.054361;0.224474
70594;2.000000;-77.199722;41.0;27.7;31.3;-0.268042;-0.391053
70595;3.650000;-74.199722;12.0;24.0;64.0;1.669260;0.689177
70596;9.500000;-75.379722;52.2;29.1;18.8;-1.021701;-0.584764
70598;4.650000;-74.230000;24.1;55.3;20.6;-0.155525;0.832416
70599;5.400000;-75.449722;5.4;24.7;69.9;2.568051;1.528224
70600;6.400000;-70.500000;7.2;9.4;83.4;2.446299;0.264631
