Occurrence Date,Department,Municipality,Lat,Long,Confidence ratio (km),Deaths,Trigger,Source,Rain Yesterday,Rain Today,Landslide
2010-01-10,BOGOTA,BOGOTA,4.63,-74.11,11.6,1,Unknown,HEB,0.0,0.0,1
2010-02-25,CUNDINAMARCA,VILLETA,5.01,-74.49,6.7,1,Rainfall,UNGRD,2.2,9.7,1
2010-04-10,TOLIMA,HERVEO,5.11,-75.19,1.52,1,Unknown,UNGRD,4.9,18.0,1
2010-04-10,VALLE DEL CAUCA,CALI,3.4,-76.58,13.44,1,Unknown,UNGRD,10.1,23.1,1
2010-04-29,BOGOTA,BOGOTA,4.63,-74.11,11.6,1,Unknown,UNGRD,4.4,16.3,1
2010-05-03,ANTIOQUIA,SEGOVIA,7.27,-74.62,18.87,2,Unknown,DESINVENTAR,5.7,21.7,1
2010-05-04,SANTANDER,BUCARAMANGA,7.16,-73.11,6.99,1,Unknown,UNGRD,26.3,8.2,1
2010-05-10,NORTE DE SANTANDER,CUCUTILLA,7.5,-72.8,10.84,1,Rainfall,UNGRD,0.9,7.9,1
2010-05-13,SANTANDER,PUERTO WILCHES,7.4,-73.84,21.86,2,Rainfall,UNGRD,4.1,2.9,1
2010-05-23,SANTANDER,CHIMA,6.36,-73.4,7.41,1,Unknown,UNGRD,11.9,5.9,1
2010-06-03,ANTIOQUIA,SEGOVIA,7.08,-74.7,0.5,2,Unknown,UNGRD,33.8,4.3,1
2010-06-07,HUILA,COLOMBIA,3.26,-74.79,22.46,2,Rainfall,UNGRD,1.3,0.1,1
2010-06-23,BOYACA,MONGUA,5.71,-72.69,10.71,1,Unknown,UNGRD,4.7,17.1,1
2010-06-24,ANTIOQUIA,VALDIVIA,7.26,-75.4,13.43,1,Unknown,UNGRD,7.8,3.4,1
2010-06-25,META,VILLAVICENCIO,4.09,-73.49,20.43,1,Unknown,UNGRD,3.0,8.4,1
2010-07-08,CUNDINAMARCA,SOACHA,4.58,-74.24,7.73,1,Unknown,UNGRD,13.6,11.4,1
2010-07-14,BOLIVAR,CARTAGENA,10.44,-75.46,13.88,3,Rainfall,UNGRD,19.3,47.3,1
2010-07-16,BOYACA,OTANCHE,5.75,-74.2,12.3,1,Rainfall,UNGRD,15.1,10.8,1
