profile_identifier;latitude;longitude;clay.60.100.cm;silt.60.100.cm;sand.60.100.cm;trans_1.60.100.cm;trans_2.60.100.cm
65306;-0.570000;-72.470001;7.5;4.1;88.4;2.460745;-0.618121
65307;-0.580000;-72.379997;52.8;23.9;23.3;-0.816138;-0.793193
65308;-1.280000;-70.830002;37.0;20.4;42.6;0.141165;-0.594406
66765;1.262778;-77.289722;37.9;34.7;27.4;-0.323111;-0.087352
66766;1.116111;-77.427500;40.5;15.5;44.0;0.083357;-0.961414
66767;0.970000;-77.744444;24.5;35.1;40.3;0.495964;0.359101
66768;0.940833;-77.835278;13.2;33.8;53.0;1.394191;0.944875
66769;1.200556;-77.325278;28.0;25.8;46.2;0.502438;-0.078646
66770;1.375556;-77.287500;32.1;44.2;23.7;-0.302839;0.318174
66771;1.117222;-77.381944;43.5;14.8;41.7;-0.041811;-1.080469
66772;1.353611;-77.271389;41.2;29.8;29.0;-0.349916;-0.325527
67976;2.350000;-76.400000;32.7;24.5;42.7;0.266507;-0.290094
67977;2.000000;-76.666667;10.0;10.1;79.9;2.079230;0.006249
67978;2.283333;-76.450000;11.1;36.4;52.4;1.548587;1.184643
67979;2.500000;-76.950000;12.9;19.2;67.9;1.658522;0.396311
67980;1.700000;-76.783333;32.8;21.4;45.8;0.332873;-0.429871
67981;1.800000;-76.766667;41.9;29.0;29.1;-0.365552;-0.366023
67982;2.516667;-76.450000;50.3;17.8;31.8;-0.458535;-1.037216
67984;1.483333;-77.097500;52.3;18.5;29.2;-0.583432;-1.042125
67985;2.483333;-76.466667;75.9;13.7;10.5;-1.981111;-1.713241
68012;3.083333;-76.500000;89.8;8.1;2.1;-3.744395;-2.407334
68017;2.400000;-72.716667;39.3;24.1;36.6;-0.069862;-0.489135
68018;2.333333;-72.700000;33.4;25.3;41.3;0.211753;-0.276551
69516;2.500000;-72.633333;36.9;56.7;6.5;-1.742062;0.430759
69518;-4.033333;-70.016667;29.3;19.0;51.7;0.567665;-0.431219
69575;2.383333;-72.633333;33.3;48.2;18.5;-0.590778;0.369219
69576;-0.400000;-72.150000;64.9;15.8;19.4;-1.209318;-1.415627
69586;1.166667;-77.366667;16.0;22.5;61.6;1.348907;0.340251
69660;2.416667;-72.666667;25.2;18.3;56.5;0.809610;-0.317707
69668;1.166667;-77.183333;31.8;38.5;29.7;-0.068530;0.191336
69695;4.150000;-73.383333;47.7;15.0;37.2;-0.248530;-1.156950
69711;-4.133333;-69.950000;35.3;33.8;30.9;-0.132224;-0.044198
69746;4.166667;-72.916667;59.9;25.1;14.9;-1.390092;-0.869560
69778;-0.466667;-72.216667;49.6;13.1;37.3;-0.285399;-1.334649
69856;1.116667;-77.366667;36.6;35.6;27.8;-0.276397;-0.027352
69923;-0.466667;-72.233333;50.2;18.6;31.2;-0.475472;-0.990216
69933;-0.450000;-72.216667;0.8;10.7;88.5;4.714827;2.601540
70535;2.400000;-76.650000;21.9;21.6;56.5;0.947944;-0.016478
70556;5.800000;-71.849722;17.7;10.0;72.3;1.409023;-0.567795
70558;11.600000;-72.250000;32.5;24.4;43.2;0.285367;-0.286902
70559;5.800000;-71.400000;17.3;36.0;46.7;0.991468;0.733418
70570;1.000000;-75.309722;45.2;29.0;25.8;-0.560293;-0.444752
70577;4.400000;-70.400000;26.2;46.4;27.4;0.044389;0.572854
70578;4.900000;-68.500000;20.9;20.6;58.5;1.027877;-0.017074
70580;5.900000;-71.500000;42.7;31.7;25.6;-0.509914;-0.297044
70581;3.950000;-77.199722;0.7;0.5;98.9;4.988758;-0.389899
70582;4.300000;-76.250000;12.0;31.9;56.1;1.538753;0.973557
70583;7.300000;-76.400000;55.3;12.4;32.3;-0.538327;-1.491357
70584;8.500000;-77.260000;32.2;26.9;40.9;0.237448;-0.182966
70585;3.400000;-76.800000;34.8;22.5;42.7;0.204569;-0.437249
70587;0.700000;-70.900000;35.6;8.0;56.4;0.460298;-1.496324
70588;1.100000;-69.900000;43.0;7.7;49.3;0.136964;-1.717707
70589;1.500000;-72.699722;16.7;10.8;72.5;1.468196;-0.438511
70592;10.550000;-74.900000;66.2;14.0;19.8;-1.205233;-1.551909
70593;5.250000;-73.900000;40.9;33.9;25.2;-0.481630;-0.187017
70594;2.000000;-77.199722;28.9;41.0;30.2;0.043679;0.350063
70596;9.500000;-75.379722;44.4;34.8;20.8;-0.757346;-0.241781
70598;4.650000;-74.230000;65.3;31.3;3.3;-2.980824;-0.734429
70599;5.400000;-75.449722;4.0;32.1;63.9;2.768439;2.078573
70600;6.400000;-70.500000;7.8;10.3;81.9;2.348382;0.271275
70602;2.400000;-76.500000;29.8;30.7;39.5;0.279959;0.029473
70603;2.500000;-76.599722;26.7;58.0;15.3;-0.555405;0.776326
70604;3.900000;-76.599722;38.6;52.0;9.4;-1.407016;0.298778
70784;-1.600000;-73.400000;50.6;11.8;37.6;-0.297326;-1.452131
70811;6.300000;-74.059722;50.0;28.7;21.4;-0.849986;-0.555626
70838;3.799722;-77.099722;54.9;28.2;17.0;-1.173537;-0.665832
70839;3.849722;-77.000000;30.0;35.9;34.1;0.127442;0.181198
70888;3.660000;-76.900000;23.3;27.5;49.3;0.751204;0.166300
70939;10.899722;-72.849722;13.5;59.9;26.6;0.680985;1.493294
70940;10.949722;-72.800000;6.9;5.4;87.7;2.542646;-0.245359
70941;3.099722;-70.800000;56.3;22.8;21.0;-0.986033;-0.904655
71330;-1.279722;-70.339722;30.3;30.0;39.6;0.266682;-0.009600
71331;-1.360000;-69.949722;42.7;20.1;37.2;-0.136669;-0.754009
71340;-2.339722;-72.360000;36.7;16.3;47.0;0.247042;-0.812873
71341;-1.340000;-73.309722;50.6;11.8;37.6;-0.297326;-1.452131
71387;3.259722;-68.069722;3.9;1.9;94.3;3.191515;-0.727049
71389;3.849722;-76.750000;51.0;27.5;21.5;-0.862323;-0.618803
71390;3.599722;-76.699722;56.2;30.6;13.2;-1.448684;-0.608472
71391;4.349722;-75.199722;48.3;10.9;40.8;-0.167399;-1.490322
71470;4.199722;-76.300000;38.1;35.1;26.8;-0.353091;-0.083193
71471;11.199722;-72.400000;25.1;13.9;61.0;0.889388;-0.591250
71472;11.329722;-72.500000;20.0;37.9;42.1;0.742565;0.638401
71473;11.699722;-72.250000;37.5;13.5;49.0;0.268787;-1.017095
71474;4.719722;-74.099722;71.6;26.9;1.6;-3.830674;-0.980035
71475;4.719722;-74.650000;71.2;27.2;1.6;-3.779776;-0.963240
71476;10.199722;-75.400000;30.0;20.1;49.9;0.506836;-0.403658
71477;8.399722;-73.300000;34.5;33.2;32.3;-0.067757;-0.039751
71478;8.399722;-77.250000;37.5;32.0;30.5;-0.206892;-0.158118
71479;7.699722;-76.500000;30.8;40.6;28.6;-0.075809;0.276061
71480;7.659722;-76.639722;34.2;41.2;24.6;-0.327314;0.188130
71481;10.939722;-73.660000;2.1;18.7;79.2;3.645781;2.202702
71482;3.599722;-76.250000;12.5;66.5;21.0;0.516837;1.671046
71483;0.940000;-69.949722;3.9;4.3;91.8;3.164096;0.114273
71484;2.299722;-76.599722;6.1;33.5;60.4;2.292192;1.701689
71485;2.599722;-75.300000;3.9;3.6;92.6;3.178337;-0.077462
71486;4.849722;-74.209722;8.9;51.5;39.6;1.496621;1.758746
71489;5.099722;-75.349722;1.8;1.1;97.1;3.994073;-0.442752
71490;6.380000;-70.540000;30.1;42.6;27.3;-0.096164;0.349241
71491;4.599722;-75.699722;46.1;39.9;13.9;-1.196924;-0.145092
71492;3.299722;-73.949722;10.9;20.2;69.0;1.847410;0.617474
71493;1.399722;-74.900000;42.9;45.7;11.5;-1.319911;0.063169
71494;5.599722;-72.050000;53.3;12.2;34.5;-0.434002;-1.472211
71496;2.799722;-75.300000;33.9;21.8;44.3;0.268079;-0.439169
71497;2.599722;-75.400000;7.2;10.4;82.4;2.439732;0.372976
